kanji,back,tags
千,<b>Meanings:</b> thousand<br><br><b>On'yomi:</b> セン<br><br><b>Kun'yomi:</b> ち<br><br><b>Name readings:</b> かず; ゆき<br><br><b>Stats:</b> Strokes: 3 | Radical: 24 | Freq: #195<br><br><b>Heisig:</b> RTK: #40 | RTK6: #40,grade1
川,<b>Meanings:</b> stream; river; river or three-stroke river radical (no. 47)<br><br><b>On'yomi:</b> セン<br><br><b>Kun'yomi:</b> かわ<br><br><b>Name readings:</b> か; こ; さわ<br><br><b>Stats:</b> Strokes: 3 | Radical: 47 | Freq: #181<br><br><b>Heisig:</b> RTK: #127 | RTK6: #134,grade1
前,<b>Meanings:</b> in front; before<br><br><b>On'yomi:</b> ゼン<br><br><b>Kun'yomi:</b> まえ; -まえ<br><br><b>Name readings:</b> さき; さと; まい<br><br><b>Stats:</b> Strokes: 9 | Radical: 18 | Freq: #27<br><br><b>Heisig:</b> RTK: #290 | RTK6: #309,grade2
足,<b>Meanings:</b> leg; foot; be sufficient; counter for pairs of footwear<br><br><b>On'yomi:</b> ソク<br><br><b>Kun'yomi:</b> あし; た.りる; た.る; た.す<br><br><b>Name readings:</b> あ; あす; おす; たらし<br><br><b>Stats:</b> Strokes: 7 | Radical: 157 | Freq: #343<br><br><b>Heisig:</b> RTK: #1279 | RTK6: #1372,grade1
多,<b>Meanings:</b> many; frequent; much<br><br><b>On'yomi:</b> タ<br><br><b>Kun'yomi:</b> おお.い; まさ.に; まさ.る<br><br><b>Stats:</b> Strokes: 6 | Radical: 36 | Freq: #139<br><br><b>Heisig:</b> RTK: #108 | RTK6: #113,grade2
大,<b>Meanings:</b> large; big<br><br><b>On'yomi:</b> ダイ; タイ<br><br><b>Kun'yomi:</b> おお-; おお.きい; -おお.いに<br><br><b>Name readings:</b> うふ; お; おう; た; たかし; とも; はじめ; ひろ; ひろし; まさ; まさる; もと; わ<br><br><b>Stats:</b> Strokes: 3 | Radical: 37 | Freq: #7<br><br><b>Heisig:</b> RTK: #107 | RTK6: #112,grade1
男,<b>Meanings:</b> male<br><br><b>On'yomi:</b> ダン; ナン<br><br><b>Kun'yomi:</b> おとこ; お<br><br><b>Name readings:</b> み<br><br><b>Stats:</b> Strokes: 7 | Radical: 102 | Freq: #240<br><br><b>Heisig:</b> RTK: #859 | RTK6: #923,grade1
中,<b>Meanings:</b> in; inside; middle; mean; center<br><br><b>On'yomi:</b> チュウ<br><br><b>Kun'yomi:</b> なか; うち; あた.る<br><br><b>Name readings:</b> あたる; かなえ<br><br><b>Stats:</b> Strokes: 4 | Radical: 2 | Freq: #11<br><br><b>Heisig:</b> RTK: #39 | RTK6: #39,grade1
長,<b>Meanings:</b> long; leader; superior; senior<br><br><b>On'yomi:</b> チョウ<br><br><b>Kun'yomi:</b> なが.い; おさ<br><br><b>Name readings:</b> お; おしゃ; たかし; たけ; な; は; ひさ<br><br><b>Stats:</b> Strokes: 8 | Radical: 168 | Freq: #12<br><br><b>Heisig:</b> RTK: #1920 | RTK6: #2070,grade2
天,<b>Meanings:</b> heavens; sky; imperial<br><br><b>On'yomi:</b> テン<br><br><b>Kun'yomi:</b> あまつ; あめ; あま-<br><br><b>Name readings:</b> あき; あも; た; たかし; て; なま<br><br><b>Stats:</b> Strokes: 4 | Radical: 37 | Freq: #512<br><br><b>Heisig:</b> RTK: #428 | RTK6: #457,grade1
店,<b>Meanings:</b> store; shop<br><br><b>On'yomi:</b> テン<br><br><b>Kun'yomi:</b> みせ; たな<br><br><b>Stats:</b> Strokes: 8 | Radical: 53 | Freq: #378<br><br><b>Heisig:</b> RTK: #588 | RTK6: #632,grade2
電,<b>Meanings:</b> electricity<br><br><b>On'yomi:</b> デン<br><br><b>Stats:</b> Strokes: 13 | Radical: 173 | Freq: #268<br><br><b>Heisig:</b> RTK: #535 | RTK6: #574,grade2
土,<b>Meanings:</b> soil; earth; ground; Turkey<br><br><b>On'yomi:</b> ド; ト<br><br><b>Kun'yomi:</b> つち<br><br><b>Name readings:</b> つく; は; ひじ<br><br><b>Stats:</b> Strokes: 3 | Radical: 32 | Freq: #307<br><br><b>Heisig:</b> RTK: #150 | RTK6: #161,grade1
東,<b>Meanings:</b> east<br><br><b>On'yomi:</b> トウ<br><br><b>Kun'yomi:</b> ひがし<br><br><b>Name readings:</b> あい; あがり; あずま; あづま; こち; さき; しの; とお; はる; ひが; もと<br><br><b>Stats:</b> Strokes: 8 | Radical: 75 | Freq: #37<br><br><b>Heisig:</b> RTK: #504 | RTK6: #543,grade2
道,<b>Meanings:</b> road-way; street; district; journey; course; moral; teachings<br><br><b>On'yomi:</b> ドウ; トウ<br><br><b>Kun'yomi:</b> みち; いう<br><br><b>Name readings:</b> さ; じ; ど; みつ; おさむ<br><br><b>Stats:</b> Strokes: 12 | Radical: 162 | Freq: #207<br><br><b>Heisig:</b> RTK: #277 | RTK6: #295,grade2
読,<b>Meanings:</b> read<br><br><b>On'yomi:</b> ドク; トク; トウ<br><br><b>Kun'yomi:</b> よ.む; -よ.み<br><br><b>Name readings:</b> よみ<br><br><b>Stats:</b> Strokes: 14 | Radical: 149 | Freq: #618<br><br><b>Heisig:</b> RTK: #348 | RTK6: #372,grade2
