kanji,back,tags
菜,<b>Meanings:</b> vegetable; side dish; greens<br><br><b>On'yomi:</b> サイ<br><br><b>Kun'yomi:</b> な<br><br><b>Name readings:</b> よう<br><br><b>Stats:</b> Strokes: 11 | Radical: 140 | Freq: #1327<br><br><b>Heisig:</b> RTK: #734 | RTK6: #793,grade4
作,<b>Meanings:</b> make; production; prepare; build<br><br><b>On'yomi:</b> サク; サ<br><br><b>Kun'yomi:</b> つく.る; つく.り; -づく.り<br><br><b>Name readings:</b> くり; さか; さっ; づくり; とも; なお; はぎ; まさか<br><br><b>Stats:</b> Strokes: 7 | Radical: 9 | Freq: #103<br><br><b>Heisig:</b> RTK: #1142 | RTK6: #1224,grade2
産,<b>Meanings:</b> products; bear; give birth; yield; childbirth; native; property<br><br><b>On'yomi:</b> サン<br><br><b>Kun'yomi:</b> う.む; う.まれる; うぶ-; む.す<br><br><b>Name readings:</b> もと<br><br><b>Stats:</b> Strokes: 11 | Radical: 100 | Freq: #161<br><br><b>Heisig:</b> RTK: #1560 | RTK6: #1681,grade4
仕,<b>Meanings:</b> attend; doing; official; serve<br><br><b>On'yomi:</b> シ; ジ<br><br><b>Kun'yomi:</b> つか.える<br><br><b>Stats:</b> Strokes: 5 | Radical: 9 | Freq: #439<br><br><b>Heisig:</b> RTK: #960 | RTK6: #1033,grade3
使,<b>Meanings:</b> use; send on a mission; order; messenger; envoy; ambassador; cause<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> つか.う; つか.い; -つか.い; -づか.い<br><br><b>Stats:</b> Strokes: 8 | Radical: 9 | Freq: #219<br><br><b>Heisig:</b> RTK: #990 | RTK6: #1065,grade3
始,<b>Meanings:</b> commence; begin<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> はじ.める; -はじ.める; はじ.まる<br><br><b>Name readings:</b> もと<br><br><b>Stats:</b> Strokes: 8 | Radical: 38 | Freq: #244<br><br><b>Heisig:</b> RTK: #747 | RTK6: #809,grade3
姉,<b>Meanings:</b> elder sister<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> あね; はは<br><br><b>Stats:</b> Strokes: 8 | Radical: 38 | Freq: #1473<br><br><b>Heisig:</b> RTK: #413 | RTK6: #442,grade2
市,<b>Meanings:</b> market; city; town<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> いち<br><br><b>Name readings:</b> い; ち<br><br><b>Stats:</b> Strokes: 5 | Radical: 50 | Freq: #42<br><br><b>Heisig:</b> RTK: #412 | RTK6: #440,grade2
思,<b>Meanings:</b> think<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> おも.う; おもえら.く; おぼ.す<br><br><b>Stats:</b> Strokes: 9 | Radical: 61 | Freq: #132<br><br><b>Heisig:</b> RTK: #605 | RTK6: #651,grade2
止,<b>Meanings:</b> stop; halt<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> と.まる; -ど.まり; と.める; -と.める; -ど.め; とど.める; とど.め; とど.まる; や.める; や.む; -や.む; よ.す; -さ.す; -さ.し<br><br><b>Name readings:</b> どめ<br><br><b>Stats:</b> Strokes: 4 | Radical: 77 | Freq: #310<br><br><b>Heisig:</b> RTK: #370 | RTK6: #396,grade2
死,<b>Meanings:</b> death; die<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> し.ぬ; し.に-<br><br><b>Stats:</b> Strokes: 6 | Radical: 78 | Freq: #229<br><br><b>Heisig:</b> RTK: #815 | RTK6: #878,grade3
私,<b>Meanings:</b> private; I; me<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> わたくし; わたし<br><br><b>Stats:</b> Strokes: 7 | Radical: 115 | Freq: #242<br><br><b>Heisig:</b> RTK: #902 | RTK6: #968,grade6
紙,<b>Meanings:</b> paper<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> かみ<br><br><b>Stats:</b> Strokes: 10 | Radical: 120 | Freq: #559<br><br><b>Heisig:</b> RTK: #1829 | RTK6: #1971,grade2
試,<b>Meanings:</b> test; try; attempt; experiment; ordeal<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> こころ.みる; ため.す<br><br><b>Stats:</b> Strokes: 13 | Radical: 149 | Freq: #392<br><br><b>Heisig:</b> RTK: #354 | RTK6: #378,grade4
事,<b>Meanings:</b> matter; thing; fact; business; reason; possibly<br><br><b>On'yomi:</b> ジ; ズ<br><br><b>Kun'yomi:</b> こと; つか.う; つか.える<br><br><b>Name readings:</b> ろ<br><br><b>Stats:</b> Strokes: 8 | Radical: 6 | Freq: #18<br><br><b>Heisig:</b> RTK: #1156 | RTK6: #1240,grade3
字,<b>Meanings:</b> character; letter; word; section of village<br><br><b>On'yomi:</b> ジ<br><br><b>Kun'yomi:</b> あざ; あざな; -な<br><br><b>Stats:</b> Strokes: 6 | Radical: 39 | Freq: #485<br><br><b>Heisig:</b> RTK: #185 | RTK6: #197,grade1
持,<b>Meanings:</b> hold; have<br><br><b>On'yomi:</b> ジ<br><br><b>Kun'yomi:</b> も.つ; -も.ち; も.てる<br><br><b>Name readings:</b> もち; もつ<br><br><b>Stats:</b> Strokes: 9 | Radical: 64 | Freq: #119<br><br><b>Heisig:</b> RTK: #660 | RTK6: #712,grade3
