kanji,back,tags
疫,<b>Meanings:</b> epidemic<br><br><b>On'yomi:</b> エキ; ヤク<br><br><b>Stats:</b> Strokes: 9 | Radical: 104 | Freq: #1661<br><br><b>Heisig:</b> RTK: #1689 | RTK6: #1824,grade8
益,<b>Meanings:</b> benefit; gain; profit; advantage<br><br><b>On'yomi:</b> エキ; ヤク<br><br><b>Kun'yomi:</b> ま.す<br><br><b>Name readings:</b> まし; ます<br><br><b>Stats:</b> Strokes: 10 | Radical: 108 | Freq: #674<br><br><b>Heisig:</b> RTK: #1881 | RTK6: #2026,grade5
悦,<b>Meanings:</b> ecstasy; joy; rapture<br><br><b>On'yomi:</b> エツ<br><br><b>Kun'yomi:</b> よろこ.ぶ; よろこ.ばす<br><br><b>Name readings:</b> や; よし<br><br><b>Stats:</b> Strokes: 10 | Radical: 61 | Freq: #1762<br><br><b>Heisig:</b> RTK: #619 | RTK6: #666,grade8
謁,<b>Meanings:</b> audience; audience (with king)<br><br><b>On'yomi:</b> エツ<br><br><b>Stats:</b> Strokes: 15 | Radical: 149<br><br><b>Heisig:</b> RTK: #452 | RTK6: #489,grade8
閲,<b>Meanings:</b> review; inspection; revision<br><br><b>On'yomi:</b> エツ<br><br><b>Kun'yomi:</b> けみ.する<br><br><b>Stats:</b> Strokes: 15 | Radical: 169 | Freq: #1855<br><br><b>Heisig:</b> RTK: #1618 | RTK6: #1745,grade8
宴,<b>Meanings:</b> banquet; feast; party<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> うたげ<br><br><b>Name readings:</b> うた; やす<br><br><b>Stats:</b> Strokes: 10 | Radical: 40 | Freq: #1675<br><br><b>Heisig:</b> RTK: #191 | RTK6: #203,grade8
援,<b>Meanings:</b> abet; help; save<br><br><b>On'yomi:</b> エン<br><br><b>Stats:</b> Strokes: 12 | Radical: 64 | Freq: #312<br><br><b>Heisig:</b> RTK: #1951 | RTK6: #2101,grade8
沿,<b>Meanings:</b> run alongside; follow along; run along; lie along<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> そ.う; -ぞ.い<br><br><b>Stats:</b> Strokes: 8 | Radical: 85 | Freq: #1121<br><br><b>Heisig:</b> RTK: #795 | RTK6: #858,grade6
炎,<b>Meanings:</b> inflammation; flame; blaze<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> ほのお<br><br><b>Name readings:</b> ぬく<br><br><b>Stats:</b> Strokes: 8 | Radical: 86 | Freq: #1242<br><br><b>Heisig:</b> RTK: #162 | RTK6: #174,grade8
猿,<b>Meanings:</b> monkey<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> さる<br><br><b>Name readings:</b> さ; さわ; ざる; まし<br><br><b>Stats:</b> Strokes: 13 | Radical: 94 | Freq: #1772<br><br><b>Heisig:</b> RTK: #403 | RTK6: #430,grade8
